Username,Produk,Review,Rating,ReviewAt,Label
napitupululintang,Tumbler Stainless,"Packing rapi banget, penjual ramah.",4,2024-08-28,1
user_14522,Skincare Serum,"Pelayanan cepat, packing aman, produk oke!",5,2024-03-12,1
user_10241,Meja Belajar,Ukuran pas dan sesuai pesanan.,5,2024-08-20,1
user_8383,Lampu Tidur,Warna dan bentuk persis seperti di gambar.,4,2024-03-01,1
pranowomahfud,Sandals Pria,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2024-12-09,1
user_12909,Buku Catatan,Kualitas di atas ekspektasi saya!,4,2024-04-05,1
user_2906,Rak Sepatu,Worth it banget untuk harga segini.,5,2023-07-14,1
wahyuniharsanto,Dompet Kulit,"Respon penjual cepat, barang dikirim hari itu juga.",4,2024-08-17,1
nadinefirgantoro,Headset Bluetooth,warna cantik worth it bagus puas bagus mantap bagus puas recommended,5,2025-01-07,1
firgantoroaditya,Kaos Oblong,"Produk bagus, bahan adem dan sesuai gambar.",5,2025-02-27,1
hanieshal,"( HARGA PROMO )kursi lipat lesehan, kursi Lesehan "" OSCAR""ini","Desain:keren dan modern
Ukuran:sesuai
Kenyamanan:sangat nyaman

Alhamdulillah sampai dg selamat tanpa caacat. Tidak melihat ukuranya ternyata pas buat anaku bukan untuk aku. Hehe. Tapi empuk, enak banget dan nyaman. Terimakasih seller shopee",5,2025-05-25 06:26,1
zzkwn9i37h,"sofa lipat, sofa lesehan, kursi lipat lesehan, kursi lesehan","Puas banget dengan barangnya... 
Bagus, nyaman, menarik... 
Langsung pesan 1 lagi,. 
Dan bakal pesan banyak nanti pas sudah buka rental PS 5",5,2025-06-03 15:18,1
estionothamrin,Powerbank 10000mAh,"Packing rapi banget, penjual ramah.",5,2024-11-07,1
irawanhardi,Kemeja Polos,"Sudah belanja beberapa kali, selalu puas.",5,2024-09-24,1
user_7448,Mouse Wireless,Barang original dan berkualitas.,5,2024-03-10,1
hananainggolan,Kaos Oblong,"Packing rapi banget, penjual ramah.",4,2025-01-04,1
user_6172,Powerbank,Harga terjangkau dengan kualitas oke.,5,2024-07-12,1
user_7820,Kursi Lipat,"Mantap, gak nyesel beli di sini.",4,2024-12-23,1
harsanaharyanti,Kaos Oblong,"Warnanya cantik dan tahan lama, puas banget!",5,2024-12-31,1
user_5746,Lampu Tidur,Sangat kecewa dengan produk ini.,2,2023-09-16,0
nsiregar,Lipstik Matte,"Sudah belanja beberapa kali, selalu puas.",5,2025-05-22,1
user_6458,Sepatu Sneakers,Sangat puas dengan pelayanan toko ini.,4,2023-04-05,1
jhutasoit,Keyboard Mechanical,Produk original dan kualitasnya premium.,4,2024-11-01,1
user_10774,Makeup Set,Suka banget sama produk ini.,4,2024-08-04,1
aditya41,Tumbler Stainless,"Harga terjangkau, kualitas mantap!",4,2025-04-11,1
winarnobalapati,Lipstik Matte,"Respon penjual cepat, barang dikirim hari itu juga.",5,2025-02-24,1
v*****0,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum SPF50 PA++++,"Tekstur:lembut
Cocok untuk:kulit sensitif
Berat:ringan

Baru pertama kali mau coba, hasil review bagus. Mudah-mudahan cocok. Karena cari sun screen agak-agak susah",5,2025-06-11 15:31,1
user_14524,Meja Belajar,Baru dipakai sebentar sudah rusak.,1,2023-11-26,0
user_24108,Kemeja Pria,Suka banget sama produk ini.,4,2023-05-17,1
user_4835,Buku Catatan,Packing rapi dan aman sampai tujuan.,5,2023-04-02,1
user_17858,Celana Jeans,Warna dan bentuk persis seperti di gambar.,5,2024-07-15,1
gsiregar,Kemeja Polos,"Respon penjual cepat, barang dikirim hari itu juga.",5,2024-08-03,1
user_19692,Kaos Polos,Kualitas sangat buruk.,3,2023-08-27,0
pranowoolga,Parfum Unisex,"Warnanya cantik dan tahan lama, puas banget!",4,2024-10-18,1
user_14874,Mouse Wireless,Worth it banget untuk harga segini.,5,2024-04-23,1
mustikaiswahyudi,Headset Bluetooth,"Respon penjual cepat, barang dikirim hari itu juga.",5,2025-05-24,1
user_12463,Headset Gaming,Barang datang lebih cepat dari perkiraan.,5,2023-11-12,1
hastutinadine,Powerbank 10000mAh,"Sesuai deskripsi, kualitas oke dan tahan lama.",4,2024-11-26,1
user_3937,Celana Jeans,Ukuran pas dan sesuai pesanan.,5,2024-05-22,1
user_24052,Smartphone Android,"Mantap, gak nyesel beli di sini.",5,2024-07-03,1
user_11815,Parfum Wanita,Tidak direkomendasikan sama sekali.,2,2024-08-15,0
emongyuniar,Headset Bluetooth,"Packing rapi banget, penjual ramah.",4,2024-11-15,1
halimaiswahyudi,Jam Tangan Digital,Produk original dan kualitasnya premium.,4,2024-07-07,1
azamtirah,sandal flat ringan dewasa (36-40),Ok banget,5,2021-08-06 10:06,1
user_8786,Kemeja Pria,Kualitas di atas ekspektasi saya!,4,2024-03-07,1
suheriyahria640,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 100ml,Mantappp semoga cocok 🤗,5,2025-06-03 12:04,1
hmaryadi,Tumbler Stainless,"Sudah belanja beberapa kali, selalu puas.",5,2024-12-23,1
yayaitunayla,Fleurette | Sepatu Wanita Flat Shoes | MEGAN,"Kenyamanan:nyaman
Desain:menarik
Warna:beige

Sepatunya cantik..terimakasihh",5,2025-03-18 09:09,1
user_12071,Skincare Serum,Warna tidak sesuai pesanan.,2,2023-05-14,0
kamal80,Dompet Kulit,"Packing rapi banget, penjual ramah.",5,2025-02-02,1
galuh53,Parfum Unisex,"Pengiriman cepat, packing rapi. Recommended!",5,2024-11-11,1
user_9282,Makeup Set,"Puas banget, terima kasih seller!",5,2023-09-13,1
user_12507,Jam Tangan Digital,Packing rapi dan aman sampai tujuan.,4,2024-05-04,1
prabawahassanah,Dompet Kulit,"Harga terjangkau, kualitas mantap!",5,2025-04-28,1
aravvi.store,"sofa lipat, sofa lesehan, kursi lipat lesehan, kursi lesehan","Ukuran:pas
Desain:keren
Kenyamanan:nyaman

Kursi lesehannya bagus.. cocok utk santai sambil baca atau busui... Makasih seller smga berkah lancar manfaat",5,2025-05-02 22:46,1
user_5920,Makeup Set,Ukuran pas dan sesuai pesanan.,4,2024-08-26,1
viktor91,Kaos Oblong,Produk original dan kualitasnya premium.,5,2024-09-14,1
auramandaaa_,ESQA Wonder Crush Serum Liquid Blush On,"Tekstur:ok
Warna:ok
Kegunaan:ok

salah satu blush wishlist tp lama bgt pengiriman nya stuck disalah satu dc dan nunggu hampir sminggu :((",4,2025-06-12 14:13,1
wasitaeko,Kaos Oblong,"Warnanya cantik dan tahan lama, puas banget!",4,2025-04-10,1
hilda48,Mouse Wireless,"Harga terjangkau, kualitas mantap!",5,2024-12-18,1
user_20868,Mouse Wireless,Ukuran tidak sesuai deskripsi.,2,2024-07-05,0
nengipah1973,Sepatu slip ringan dewasa (36-40),Paket nya dah nyampe cepet banget. Sepatunya ok lagi. Pokoknya saya suka mksh ya seller dan shopee.,5,2021-11-11 11:39,1
wardaya83,Kemeja Polos,"Packing rapi banget, penjual ramah.",5,2024-08-05,1
user_23693,Mouse Wireless,"Pelayanan cepat, packing aman, produk oke!",4,2023-04-06,1
f*****9,"WARDAH Perfect Bright Creamy Foam Brightening + Smooth Glowing - Facial Wash untuk Semua Jenis Kulit Terutama Kulit Kering - Membersihkan dengan Lembut - Cerah, Sehat, Glowing, Lebih Kenyal, & Halus",Tekstur:lembut Kandungan:bagus sampe dengan selamat,5,2025-06-13 10:16,1
user_5813,Jam Tangan Digital,Top banget! Bakal order lagi nanti.,4,2023-10-31,1
user_10629,Keyboard Mechanical,"Pelayanan cepat, packing aman, produk oke!",5,2024-07-19,1
baktiadi55,Mouse Wireless,Produk original dan kualitasnya premium.,4,2024-08-23,1
user_1027,Kaos Polos,Sangat puas dengan pelayanan toko ini.,4,2023-05-16,1
punggakhoirunisa504,Oneda Greisy Tas Bahu Selempang Wanita #S1822,Penjual tdk menginfokan paperbag habis lewat chat. Padahal saya beli ini untuk kado bagus ada paperbagnya. Jujur agak kecewa si,5,2025-06-10 18:29,1
saadatjailani,Sepatu Sneakers,"Respon penjual cepat, barang dikirim hari itu juga.",4,2024-08-11,1
user_3594,Parfum Wanita,"Beli karena review bagus, ternyata zonk.",2,2023-10-17,0
user_6147,Kemeja Pria,Worth it banget untuk harga segini.,5,2023-04-17,1
vpratiwi,Dompet Kulit,"Produk bagus, bahan adem dan sesuai gambar.",4,2024-07-17,1
legawa79,Kemeja Polos,"Produk bagus, bahan adem dan sesuai gambar.",5,2024-08-25,1
user_12322,Mouse Wireless,Pengiriman cepat dan aman.,4,2024-02-23,1
sgunarto,Celana Jeans,"Respon penjual cepat, barang dikirim hari itu juga.",5,2024-09-05,1
user_4010,Buku Catatan,Sangat direkomendasikan untuk semua orang.,5,2023-04-08,1
user_19967,Sepatu Sneakers,"Pelayanan cepat, packing aman, produk oke!",4,2023-06-12,1
user_12797,Headset Gaming,Pengiriman cepat dan aman.,4,2024-10-09,1
tsaputra,Jam Tangan Digital,"Respon penjual cepat, barang dikirim hari itu juga.",5,2025-02-06,1
user_8448,Celana Jeans,Top banget! Bakal order lagi nanti.,4,2024-06-12,1
salmanmardhiyah,Jam Tangan Digital,Barang sampai dengan aman dan cepat.,5,2024-11-12,1
faizahprasasta,Powerbank 10000mAh,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2024-07-03,1
user_11295,Buku Catatan,Top banget! Bakal order lagi nanti.,5,2024-12-11,1
sitompulparamita,Keyboard Mechanical,"Respon penjual cepat, barang dikirim hari itu juga.",5,2024-10-14,1
user_20543,Kaos Polos,Packing rapi dan aman sampai tujuan.,4,2024-06-11,1
pranawawibowo,Dompet Kulit,Barang sampai dengan aman dan cepat.,5,2024-06-27,1
user_15617,Flashdisk 64GB,"Beli karena review bagus, ternyata zonk.",2,2024-08-15,0
user_17106,Meja Belajar,Penjual sangat ramah dan fast respon.,5,2024-08-24,1
denss_2008,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 30ml,Best!,5,2025-06-11 15:54,1
qsimanjuntak,Sepatu Sneakers,"Sudah belanja beberapa kali, selalu puas.",4,2024-10-30,1
user_3775,Celana Jeans,Sangat puas dengan pelayanan toko ini.,5,2023-11-03,1
user_14343,Flashdisk 64GB,Sangat direkomendasikan untuk semua orang.,4,2023-03-01,1
user_6814,Flashdisk 64GB,Sudah beli berkali-kali di sini dan selalu puas.,4,2024-06-12,1
khalim,Celana Jeans,Barang sampai dengan aman dan cepat.,4,2025-01-09,1
zusada,Kaos Oblong,"Sudah belanja beberapa kali, selalu puas.",4,2025-02-23,1
user_11633,Powerbank,Penjual tidak merespon chat.,2,2023-02-13,0
daniswarayuniar,Dompet Kulit,"Packing rapi banget, penjual ramah.",4,2024-09-26,1
user_8977,Sepatu Sneakers,Top banget! Bakal order lagi nanti.,5,2023-03-18,1
pratiwiega,Celana Jeans,Produk original dan kualitasnya premium.,5,2024-06-28,1
kurniariyanti,Kemeja Polos,"Pengiriman cepat, packing rapi. Recommended!",4,2025-03-27,1
user_17294,Smartphone Android,Pengiriman cepat dan aman.,4,2023-09-15,1
sinagacahyanto,Kemeja Polos,"Respon penjual cepat, barang dikirim hari itu juga.",4,2024-09-24,1
user_17742,Headset Gaming,Pengiriman cepat dan aman.,5,2023-08-08,1
gilang53,Sandals Pria,"Produk bagus, bahan adem dan sesuai gambar.",5,2025-02-14,1
user_18105,Jam Tangan Digital,Barang original dan berkualitas.,5,2023-07-23,1
user_12461,Buku Catatan,Sudah beli berkali-kali di sini dan selalu puas.,5,2023-12-18,1
user_8199,Skincare Serum,Warna dan bentuk persis seperti di gambar.,5,2024-10-07,1
imanullang,Tas Ransel,"Produk bagus, bahan adem dan sesuai gambar.",5,2024-06-19,1
bakimanpurnawati,Powerbank 10000mAh,"Warnanya cantik dan tahan lama, puas banget!",5,2024-07-07,1
rezanurdiyanti,Powerbank 10000mAh,"Warnanya cantik dan tahan lama, puas banget!",5,2024-07-18,1
user_12692,Jam Tangan Digital,Penjual sangat ramah dan fast respon.,5,2024-08-03,1
user_5917,Lampu Tidur,"Puas banget, terima kasih seller!",5,2023-12-12,1
bsamosir,Tumbler Stainless,"Harga terjangkau, kualitas mantap!",5,2024-08-07,1
ghidayat,Sandals Pria,"Sesuai deskripsi, kualitas oke dan tahan lama.",4,2025-06-05,1
nurainilembah,Powerbank 10000mAh,"Warnanya cantik dan tahan lama, puas banget!",5,2024-07-18,1
user_19384,Kursi Lipat,Worth it banget untuk harga segini.,5,2023-08-17,1
cagerprasetyo,Jam Tangan Digital,"Packing rapi banget, penjual ramah.",5,2025-01-08,1
spratama,Jaket Hoodie,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2025-03-28,1
user_20858,Powerbank,Barang original dan berkualitas.,4,2023-12-24,1
caketmaryadi,Tumbler Stainless,Barang sampai dengan aman dan cepat.,5,2024-10-01,1
user_2373,Celana Jeans,Packing rapi dan aman sampai tujuan.,5,2023-11-05,1
zutami,Keyboard Mechanical,"Respon penjual cepat, barang dikirim hari itu juga.",5,2024-06-29,1
pbudiyanto,Lipstik Matte,Produk original dan kualitasnya premium.,5,2024-12-23,1
user_9904,Rak Sepatu,"Puas banget, terima kasih seller!",4,2023-10-01,1
user_14332,Sepatu Sneakers,"Pelayanan cepat, packing aman, produk oke!",4,2023-10-18,1
user_4839,Jam Tangan Digital,Harga terjangkau dengan kualitas oke.,4,2024-10-02,1
halimasaefullah,Dompet Kulit,"Respon penjual cepat, barang dikirim hari itu juga.",5,2025-04-28,1
ibrani62,Kaos Oblong,"Packing rapi banget, penjual ramah.",5,2025-05-25,1
user_24015,Kaos Polos,Kualitas sangat buruk.,3,2023-08-17,0
user_4009,Buku Catatan,Baru dipakai sebentar sudah rusak.,2,2023-12-25,0
thisisadilana,SKIN1004  Madagascar Centella Poremizing Tinted Suncream 50ml,"barang tiba dengan cepat dan selamat, kalau cocok bakalan repuchase kedepannya, love u skin1004💗✨",5,2025-06-03 01:09,1
vhabibi,Kaos Oblong,"Packing rapi banget, penjual ramah.",5,2025-04-17,1
user_5217,Buku Catatan,Ukuran tidak sesuai deskripsi.,2,2023-09-17,0
bancarmustofa,Lipstik Matte,"Pengiriman cepat, packing rapi. Recommended!",5,2025-03-31,1
user_4158,Rak Sepatu,Barang rusak saat diterima.,2,2023-09-09,0
user_3631,Celana Jeans,Sudah komplain tapi tidak ada solusi.,1,2024-06-20,0
hairyanto16,Sandals Pria,"Sesuai deskripsi, kualitas oke dan tahan lama.",4,2024-08-15,1
user_12531,Smartphone Android,Sangat kecewa dengan produk ini.,2,2024-07-02,0
atmaja81,Keyboard Mechanical,"Warnanya cantik dan tahan lama, puas banget!",5,2025-02-28,1
user_14006,Mouse Wireless,"Barang cacat, sangat mengecewakan.",2,2024-09-08,0
user_1809,Mouse Wireless,Pengiriman cepat dan aman.,5,2024-01-05,1
omangunawan,Sandals Pria,"Sudah belanja beberapa kali, selalu puas.",4,2025-01-01,1
user_271,Rak Sepatu,Pengiriman cepat dan aman.,5,2023-06-01,1
user_12821,Makeup Set,Sesuai dengan rating dan review yang saya baca.,5,2024-07-22,1
user_9668,Jam Tangan Digital,Produk sangat bagus dan sesuai deskripsi!,4,2024-10-12,1
karyani,Keyboard Mechanical,"Pengiriman cepat, packing rapi. Recommended!",5,2024-06-27,1
jayadi79,Dompet Kulit,"Warnanya cantik dan tahan lama, puas banget!",5,2024-08-01,1
user_9394,Keyboard Mechanical,Pengiriman cepat dan aman.,4,2024-05-01,1
user_2265,Kaos Polos,Warna tidak sesuai pesanan.,2,2023-11-15,0
user_17057,Smartphone Android,Sudah komplain tapi tidak ada solusi.,1,2024-01-31,0
user_18320,Meja Belajar,Top banget! Bakal order lagi nanti.,5,2024-10-16,1
user_19217,Kaos Polos,"Barang palsu, bukan original.",3,2024-02-15,0
user_5786,Skincare Serum,Ukuran pas dan sesuai pesanan.,4,2024-04-23,1
user_848,Tas Wanita,Kualitas di atas ekspektasi saya!,4,2024-02-28,1
gardalaksita,Kemeja Polos,"Pengiriman cepat, packing rapi. Recommended!",4,2025-06-07,1
mahmudlazuardi,Keyboard Mechanical,"Produk bagus, bahan adem dan sesuai gambar.",5,2025-05-07,1
user_740,Kursi Lipat,Sangat puas dengan pelayanan toko ini.,5,2024-10-14,1
ganep33,Headset Bluetooth,"Packing rapi banget, penjual ramah.",5,2024-09-17,1
user_8381,Buku Catatan,Penjual sangat ramah dan fast respon.,5,2023-08-07,1
siregarjuli,Keyboard Mechanical,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2024-08-27,1
user_17873,Smartphone Android,"Pelayanan cepat, packing aman, produk oke!",4,2024-07-21,1
inamayasari,Sepatu Sneakers,"Sudah belanja beberapa kali, selalu puas.",4,2024-09-09,1
vutami,Dompet Kulit,"Sudah belanja beberapa kali, selalu puas.",5,2025-02-01,1
dwinarno,Kemeja Polos,"Harga terjangkau, kualitas mantap!",5,2024-10-20,1
user_3026,Rak Sepatu,Barang original dan berkualitas.,4,2023-08-01,1
hasanwacana,Keyboard Mechanical,Produk original dan kualitasnya premium.,5,2025-01-08,1
user_4374,Headset Gaming,Pengiriman cepat dan aman.,4,2024-12-24,1
user_21727,Sepatu Sneakers,Sudah beli berkali-kali di sini dan selalu puas.,4,2023-08-03,1
rahmacalista24.1024,Sandal Jepit Disney,"Warna:sesuai
Keaslian:aalu
Durabilitas:tahan lama",5,2025-04-14 21:45,1
user_8551,Keyboard Mechanical,Sangat puas dengan pelayanan toko ini.,5,2024-10-25,1
user_12293,Headset Gaming,Barang original dan berkualitas.,5,2024-09-21,1
user_865,Flashdisk 64GB,Produk tidak sesuai gambar.,1,2023-08-21,0
zulaikha77,Mouse Wireless,"Packing rapi banget, penjual ramah.",5,2024-07-19,1
user_16230,Meja Belajar,Rating tinggi tapi kualitas rendah.,3,2024-03-21,0
darmana30,Powerbank 10000mAh,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2025-04-06,1
latif13,Lipstik Matte,"Produk bagus, bahan adem dan sesuai gambar.",5,2025-03-25,1
p*****i,Oneda Madison Tas Jinjing Bahu Selempang Wanita #A0083,"akhirnyaaa tas impian dari dulu dateng jugaaa, semoga awet ya!! cantik sekali💓",5,2025-06-12 23:26,1
user_24399,Kaos Polos,Penjual tidak merespon chat.,1,2024-06-03,0
wpradipta,Powerbank 10000mAh,"Warnanya cantik dan tahan lama, puas banget!",5,2025-01-29,1
user_1629,Mouse Wireless,"Barang cacat, sangat mengecewakan.",1,2023-11-22,0
user_22574,Buku Catatan,Sudah beli berkali-kali di sini dan selalu puas.,5,2024-12-01,1
user_3941,Rak Sepatu,Sangat puas dengan pelayanan toko ini.,4,2024-06-11,1
januarbagus,Celana Jeans,"Packing rapi banget, penjual ramah.",4,2024-08-04,1
ajimin17,Parfum Unisex,"Sudah belanja beberapa kali, selalu puas.",5,2025-03-17,1
user_8544,Headset Gaming,Ukuran pas dan sesuai pesanan.,5,2023-10-02,1
user_12091,Flashdisk 64GB,Sangat puas dengan pelayanan toko ini.,4,2024-09-23,1
user_24498,Buku Catatan,Ukuran pas dan sesuai pesanan.,4,2024-09-11,1
user_13030,Jam Tangan Digital,Terlalu mahal untuk kualitas seperti ini.,3,2024-01-07,0
sudiatieka,Sandals Pria,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2025-04-24,1
user_2128,Rak Sepatu,Produk kotor dan tidak layak pakai.,3,2024-07-18,0
user_9893,Mouse Wireless,Sangat puas dengan pelayanan toko ini.,4,2024-09-11,1
user_4008,Kaos Polos,Sesuai dengan rating dan review yang saya baca.,4,2024-08-28,1
user_19062,Sepatu Sneakers,Sangat direkomendasikan untuk semua orang.,5,2024-05-04,1
user_16571,Skincare Serum,"Pelayanan cepat, packing aman, produk oke!",5,2023-04-18,1
user_2212,Celana Jeans,"Pelayanan cepat, packing aman, produk oke!",5,2024-10-29,1
wastutilutfan,Tumbler Stainless,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2025-04-09,1
harimurti80,Jaket Hoodie,"Harga terjangkau, kualitas mantap!",4,2025-03-07,1
user_24744,Makeup Set,Sangat direkomendasikan untuk semua orang.,5,2024-04-09,1
user_24061,Keyboard Mechanical,Pengiriman cepat dan aman.,5,2023-08-11,1
user_17067,Smartphone Android,Sudah beli berkali-kali di sini dan selalu puas.,4,2024-11-26,1
user_110,Meja Belajar,Sangat kecewa dengan produk ini.,2,2023-11-12,0
user_15148,Smartphone Android,Harga terjangkau dengan kualitas oke.,4,2023-04-12,1
user_18419,Powerbank,Top banget! Bakal order lagi nanti.,4,2024-05-16,1
user_7639,Mouse Wireless,Sangat direkomendasikan untuk semua orang.,5,2023-06-12,1
enteng74,Keyboard Mechanical,"Packing rapi banget, penjual ramah.",5,2024-10-06,1
user_21876,Flashdisk 64GB,Top banget! Bakal order lagi nanti.,4,2024-05-28,1
user_1983,Makeup Set,Barang datang lebih cepat dari perkiraan.,5,2023-02-07,1
desty.palupi,Nevada Kaos Fullprint Newspaper Wording Anak Perempuan 118742256,"Desain:baju kaos motif koran
Kualitas:bagus

Baju kaos motif koran. Bajunya bagus. Adem. Nyaman. Anakku suka.",5,2025-06-12 08:15,1
mangunsongpia,Celana Jeans,"Sudah belanja beberapa kali, selalu puas.",4,2024-10-12,1
alatupono,Lipstik Matte,"Packing rapi banget, penjual ramah.",5,2024-11-26,1
user_18722,Mouse Wireless,Packing rapi dan aman sampai tujuan.,5,2023-03-16,1
dagel01,Kemeja Polos,Produk original dan kualitasnya premium.,5,2024-10-14,1
user_17678,Meja Belajar,Pengiriman sangat lama.,2,2024-07-20,0
johan55,Tumbler Stainless,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2025-04-30,1
user_3778,Tas Wanita,"Puas banget, terima kasih seller!",4,2023-05-18,1
l*****6,ESQA Lip Gloss,"menyenangkan sesuai ekspektasi, cakeep, packing aman dan cepat",5,2025-06-12 21:42,1
eli85,Sepatu Sneakers,"Sudah belanja beberapa kali, selalu puas.",5,2024-12-05,1
damanikella,Tumbler Stainless,"Pengiriman cepat, packing rapi. Recommended!",5,2024-11-10,1
user_12382,Keyboard Mechanical,Warna tidak sesuai pesanan.,3,2024-02-21,0
ghabibi,Keyboard Mechanical,Produk original dan kualitasnya premium.,5,2025-01-10,1
ainurlaela621,ERHA Essential Moisturizer 30g - Pelembab Wajah Anti Penuaan Untuk Semua Jenis Kulit,"Tekstur:lembut tdk mnimbulkn rasa lengket
Daya Serap:cepat menyerap
Keaslian:produk autentik

Alhmdllh moisturizernya dh smpe dg slmt,,,kemasan rapih gk ada yg rusak,,,ini psananku yg k bbrpa x...barang ori msh d segel makasiiihh🙏",5,2025-06-13 11:55,1
user_1141,Smartphone Android,Worth it banget untuk harga segini.,5,2023-10-12,1
n92eu76hci,SKINTIFIC - Mugwort Acne Clay Stick + Alaska Clay Stick | Clay Stick Combo Masker Wajah Komedo Acner Eksfoliasi Wajah Glowing Kecantikan Skincare Niacinamide Salicylic Acid Ceramide Centella Glycolic Acid Probiotic Complex,Mugwort nya KK cuma 1 padahal saya beli 2,1,2025-06-12 10:30,0
icha49,Parfum Unisex,"Respon penjual cepat, barang dikirim hari itu juga.",5,2025-02-10,1
user_2082,Tas Wanita,Sangat puas dengan pelayanan toko ini.,5,2023-12-01,1
jagapati00,Jaket Hoodie,"Sudah belanja beberapa kali, selalu puas.",5,2024-07-15,1
silviaagustinmaharani_29,SKINTIFIC - Ultra Cover Powder Foundation 9g |  Two Way Cake Pressed Powder Matte Bedak tabur Padat ori Compact Meratakan warna kulit with Carnosine Ectoin Squalane Silk TWC Powder cushion matte official biru cushion tahan lama blur,tonernya cuma dapet 1 pdhl beli 2,3,2025-06-07 14:24,0
user_18608,Buku Catatan,"Mantap, gak nyesel beli di sini.",5,2023-11-19,1
legawa35,Jaket Hoodie,"Sudah belanja beberapa kali, selalu puas.",5,2025-02-15,1
nugrohojagapati,Tas Ransel,"Harga terjangkau, kualitas mantap!",4,2024-08-31,1
wasis98,Powerbank 10000mAh,"Produk bagus, bahan adem dan sesuai gambar.",5,2024-11-03,1
eprasetyo,Kaos Oblong,"Packing rapi banget, penjual ramah.",4,2024-09-01,1
rmaryati,Headset Bluetooth,Barang sampai dengan aman dan cepat.,4,2024-07-31,1
rainahardiansyah,Keyboard Mechanical,"Respon penjual cepat, barang dikirim hari itu juga.",5,2024-07-15,1
user_21902,Kaos Polos,"Puas banget, terima kasih seller!",5,2023-11-23,1
hadi57,Sandals Pria,Produk original dan kualitasnya premium.,5,2025-02-27,1
user_8400,Flashdisk 64GB,Pengiriman cepat dan aman.,5,2024-06-07,1
user_10327,Skincare Serum,Harga terjangkau dengan kualitas oke.,4,2024-03-01,1
user_21174,Headset Gaming,Sangat direkomendasikan untuk semua orang.,5,2024-02-19,1
wpratiwi,Jaket Hoodie,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2025-05-21,1
user_17381,Kaos Polos,"Puas banget, terima kasih seller!",5,2024-11-22,1
user_7516,Kursi Lipat,"Puas banget, terima kasih seller!",4,2024-02-23,1
a*****a,SKIN1004 Madagascar Centella Hyalu-Cica Blue Serum 50ml,"Tekstur:cair
Daya Serap:cepat
Efek:belum coba

Dapet free ,belum di coba semoga cocok",5,2025-06-11 19:04,1
user_10759,Lampu Tidur,Barang original dan berkualitas.,5,2023-02-08,1
eluh81,Kaos Oblong,Barang sampai dengan aman dan cepat.,5,2024-08-22,1
user_16141,Buku Catatan,Barang original dan berkualitas.,4,2023-06-15,1
cinthia01,Dompet Kulit,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2024-08-01,1
user_10022,Keyboard Mechanical,"Puas banget, terima kasih seller!",4,2024-01-29,1
user_18579,Kaos Polos,Barang original dan berkualitas.,5,2023-01-18,1
riyantigatot,Tumbler Stainless,"Pengiriman cepat, packing rapi. Recommended!",5,2024-09-02,1
user_138,Makeup Set,Harga terjangkau dengan kualitas oke.,5,2023-01-20,1
laksitalala,Kaos Oblong,"Sudah belanja beberapa kali, selalu puas.",5,2025-05-07,1
mujurhastuti,Headset Bluetooth,"Respon penjual cepat, barang dikirim hari itu juga.",5,2025-05-10,1
llailasari,Parfum Unisex,"Respon penjual cepat, barang dikirim hari itu juga.",5,2024-06-18,1
eraprimasini27,Sandal Jepit Miniso,"Sandal nya sudah sampai bagus banget suka pkoknya, lembut di pkai gak bkin kaki skit",5,2024-04-20 16:38,1
gthamrin,Headset Bluetooth,Produk original dan kualitasnya premium.,4,2025-05-04,1
zamzami0996,sepatu LED sneakers ringan anak anak (22-26),Siiippp 👍🏻👍🏻👍🏻👍🏻,5,2021-08-17 15:51,1
user_6987,Rak Sepatu,"Barang cacat, sangat mengecewakan.",1,2024-09-19,0
gatrawacana,Powerbank 10000mAh,"Respon penjual cepat, barang dikirim hari itu juga.",4,2025-06-03,1
user_1563,Makeup Set,Sangat puas dengan pelayanan toko ini.,4,2024-04-28,1
user_14800,Kaos Polos,Kualitas di atas ekspektasi saya!,4,2024-04-05,1
user_4197,Buku Catatan,Top banget! Bakal order lagi nanti.,4,2024-10-11,1
user_18418,Buku Catatan,Produk sangat bagus dan sesuai deskripsi!,4,2024-03-17,1
m*****a,Sandal Slipper Cewek S.yvs,"Kenyamanan:nyaman
Keaslian:terjamin
Kualitas:baik

tq . barang yg dattbagus sesuai dg gambar.. harga nya jauh lebih murah dr hrh bandrol",5,2025-04-29 18:08,1
zyulianti,Jam Tangan Digital,"Warnanya cantik dan tahan lama, puas banget!",4,2025-01-10,1
raisasihombing,Powerbank 10000mAh,"Produk bagus, bahan adem dan sesuai gambar.",4,2025-04-22,1
